variant,seed,max_ticks,rhist_every,rhist_len,buffer_ticks,sample_interval,def_S,def_CV,def_clock_r,xB,xC,ss_clock_r,ss_cv,final_pop,total_divisions,T_div
long,0,20000,50,120,6000,50,150,5100,6000,5100,1300,0.631661,0.081092,37,299,2474.9
long,1,20000,50,120,6000,50,150,5250,6000,5250,550,0.620083,0.085522,34,290,2344.8
long,2,20000,50,120,6000,50,150,5350,6000,9600,600,0.627597,0.086609,35,296,2364.9
long,3,20000,50,120,6000,50,150,3900,6000,3900,2400,0.619553,0.091646,38,286,2657.3
long,4,20000,50,120,6000,50,150,4800,6000,4800,1350,0.61777,0.076212,38,288,2638.9
long,5,20000,50,120,6000,50,1000,3750,6850,3750,4400,0.621131,0.103911,36,289,2491.3
long,6,20000,50,120,6000,50,150,4950,6000,8800,1300,0.622894,0.094668,37,287,2578.4
long,7,20000,50,120,6000,50,150,4850,6000,4850,1300,0.619694,0.092575,47,294,3197.3
long,8,20000,50,120,6000,50,150,3750,6000,3750,2250,0.619251,0.109876,34,288,2361.1
long,9,20000,50,120,6000,50,150,4300,6000,4300,1400,0.616873,0.095859,39,296,2635.1
long,10,20000,50,120,6000,50,150,3650,6000,3650,2200,0.624787,0.113504,37,291,2543.0
long,11,20000,50,120,6000,50,150,3650,6000,3650,2400,0.621505,0.092816,40,283,2826.9
long,12,20000,50,120,6000,50,150,5350,6000,8050,600,0.625018,0.08586,35,294,2381.0
long,13,20000,50,120,6000,50,150,4750,6000,4750,1300,0.619667,0.092545,42,287,2926.8
long,14,20000,50,120,6000,50,150,4200,6000,4200,1400,0.620412,0.104939,42,298,2818.8
long,15,20000,50,120,6000,50,-1,3900,6000,3900,-1,0.473901,0.118223,25,271,1845.0
long,16,20000,50,120,6000,50,150,3850,6000,3850,2250,0.622103,0.092992,43,297,2895.6
long,17,20000,50,120,6000,50,150,3600,6000,3600,2250,0.622036,0.102627,34,291,2336.8
long,18,20000,50,120,6000,50,150,4050,6000,4050,1650,0.625333,0.100725,47,304,3092.1
long,19,20000,50,120,6000,50,150,4800,6000,4800,1300,0.62063,0.092381,38,288,2638.9
long,20,20000,50,120,6000,50,150,3850,6000,3850,2350,0.619576,0.098956,35,292,2397.3
long,21,20000,50,120,6000,50,150,3800,6000,3800,2400,0.622947,0.092242,41,289,2837.4
long,22,20000,50,120,6000,50,150,4100,6000,4100,1400,0.613961,0.097465,37,295,2508.5
long,23,20000,50,120,6000,50,150,5250,6000,5250,1300,0.618143,0.08372,36,286,2517.5
long,24,20000,50,120,6000,50,150,4600,6000,4600,1400,0.623987,0.102533,43,301,2857.1
long,25,20000,50,120,6000,50,150,4800,6000,4800,1350,0.616703,0.086761,41,288,2847.2
long,26,20000,50,120,6000,50,150,3650,6000,3650,2300,0.620224,0.095757,43,293,2935.2
long,27,20000,50,120,6000,50,150,3750,6000,3750,2250,0.62294,0.097629,34,291,2336.8
long,28,20000,50,120,6000,50,150,5650,6000,5650,400,0.62618,0.08848,35,296,2364.9
long,29,20000,50,120,6000,50,150,4700,6000,4700,1400,0.61844,0.082427,42,288,2916.7
long,30,20000,50,120,6000,50,150,4300,6000,4300,1400,0.618589,0.101015,38,296,2567.6
long,31,20000,50,120,6000,50,150,4650,6000,4650,1400,0.618818,0.091843,43,291,2955.3
long,32,20000,50,120,6000,50,150,4800,6000,4800,1400,0.622077,0.089022,43,294,2925.2
long,33,20000,50,120,6000,50,150,3600,6000,3600,2350,0.617334,0.097869,41,289,2837.4
long,34,20000,50,120,6000,50,150,5300,6000,5300,600,0.606995,0.083769,35,283,2473.5
long,35,20000,50,120,6000,50,150,4800,6000,4800,1300,0.620387,0.092976,37,283,2614.8
long,36,20000,50,120,6000,50,150,4750,6000,4750,1300,0.619953,0.091089,40,288,2777.8
long,37,20000,50,120,6000,50,150,4800,6000,4800,1300,0.619923,0.09187,38,286,2657.3
long,38,20000,50,120,6000,50,150,3850,6000,3850,2250,0.617609,0.100827,36,290,2482.8
long,39,20000,50,120,6000,50,-1,3450,6000,3450,-1,0.359756,0.124276,24,264,1818.2
short,0,20000,10,40,400,50,150,5100,400,5100,1300,0.729658,0.081092,37,299,2474.9
short,1,20000,10,40,400,50,150,5250,400,5250,550,0.729413,0.085522,34,290,2344.8
short,2,20000,10,40,400,50,150,5350,400,9600,600,0.727843,0.086609,35,296,2364.9
short,3,20000,10,40,400,50,150,3900,400,3900,2400,0.73667,0.091646,38,286,2657.3
short,4,20000,10,40,400,50,150,4800,400,4800,1350,0.731927,0.076212,38,288,2638.9
short,5,20000,10,40,400,50,1000,3750,400,3750,4400,0.731022,0.103911,36,289,2491.3
short,6,20000,10,40,400,50,150,4950,400,8800,1300,0.733847,0.094668,37,287,2578.4
short,7,20000,10,40,400,50,150,4850,400,4850,1300,0.738274,0.092575,47,294,3197.3
short,8,20000,10,40,400,50,150,3750,400,3750,2250,0.728534,0.109876,34,288,2361.1
short,9,20000,10,40,400,50,150,4300,400,4300,1400,0.732863,0.095859,39,296,2635.1
short,10,20000,10,40,400,50,150,3650,400,3650,2200,0.730529,0.113504,37,291,2543.0
short,11,20000,10,40,400,50,150,3650,400,3650,2400,0.737394,0.092816,40,283,2826.9
short,12,20000,10,40,400,50,150,5350,400,8050,600,0.726942,0.08586,35,294,2381.0
short,13,20000,10,40,400,50,150,4750,400,4750,1300,0.735146,0.092545,42,287,2926.8
short,14,20000,10,40,400,50,150,4200,400,4200,1400,0.732039,0.104939,42,298,2818.8
